chr_name,chr_start,chr_end,annot_name
chr1,13277140,13278940,Ncoa2
chr1,13563210,13565490,Ncoa2
chr1,13590290,13590870,Ncoa2
chr1,13563210,13565490,Tram1
chr1,13590290,13590870,Tram1
chr1,13563210,13565490,Lactb2
chr1,13590290,13590870,Lactb2
chr1,13563210,13565490,Xkr9
chr1,13590290,13590870,Xkr9
chr1,19166200,19166590,Tfap2b
chr1,23727780,23728590,Ogfrl1
chr1,23727780,23728590,Smap1
chr1,24618390,24618920,Col19a1
chr1,24618390,24618920,Lmbrd1
chr1,24619350,24620770,Lmbrd1
chr1,33635220,33636160,Prim2
chr1,33635220,33636160,Rab23
chr1,33635220,33636160,Bag2
chr1,36320560,36321440,Uggt1
chr1,36353030,36354570,Uggt1
chr1,36320560,36321440,Neurl3
chr1,36353030,36354570,Neurl3
chr1,36320560,36321440,Arid5a
chr1,36353030,36354570,Arid5a
chr1,36353030,36354570,Fer1l5
chr1,36353030,36354570,Lman2l
chr1,36320560,36321440,Cnnm4
chr1,36353030,36354570,Cnnm4
chr1,36821510,36823770,Cnnm4
chr1,36823960,36824830,Cnnm4
chr1,36823960,36824830,Cnnm3
chr1,36823960,36824830,Ankrd23
chr1,36353030,36354570,Ankrd39
chr1,36821510,36823770,Ankrd39
chr1,36823960,36824830,Ankrd39
chr1,36854220,36855180,Ankrd39
chr1,36821510,36823770,Sema4c
chr1,36823960,36824830,Sema4c
chr1,36821510,36823770,Cox5b
chr1,36823960,36824830,Cox5b
chr1,36854220,36855180,Cox5b
chr1,36892350,36893980,Cox5b
chr1,36976320,36978180,Cox5b
chr1,36978360,36979520,Cox5b
chr1,36821510,36823770,Actr1b
chr1,36823960,36824830,Actr1b
chr1,36854220,36855180,Actr1b
chr1,36892350,36893980,Actr1b
chr1,36821510,36823770,Zap70
chr1,36823960,36824830,Zap70
chr1,36854220,36855180,Zap70
chr1,36892350,36893980,Zap70
chr1,36976320,36978180,Zap70
chr1,36978360,36979520,Zap70
chr1,36821510,36823770,Tmem131
chr1,36823960,36824830,Tmem131
chr1,36854220,36855180,Tmem131
chr1,36892350,36893980,Tmem131
chr1,36976320,36978180,Tmem131
chr1,36978360,36979520,Tmem131
chr1,37364500,37366030,Cnga3
chr1,37552850,37554080,Cnga3
chr1,37364500,37366030,Inpp4a
chr1,37552850,37554080,Inpp4a
chr1,37621820,37622640,Inpp4a
chr1,37641610,37643510,Inpp4a
chr1,37658800,37660800,Inpp4a
chr1,37721220,37722040,Inpp4a
chr1,37722270,37723190,Inpp4a
chr1,37364500,37366030,6330578E17Rik
chr1,37552850,37554080,6330578E17Rik
chr1,37621820,37622640,6330578E17Rik
chr1,37641610,37643510,6330578E17Rik
chr1,37658800,37660800,6330578E17Rik
chr1,37721220,37722040,6330578E17Rik
chr1,37722270,37723190,6330578E17Rik
chr1,37364500,37366030,Unc50
chr1,37552850,37554080,Unc50
chr1,37621820,37622640,Unc50
chr1,37641610,37643510,Unc50
chr1,37658800,37660800,Unc50
chr1,37721220,37722040,Unc50
chr1,37364500,37366030,4930594C11Rik
chr1,37552850,37554080,4930594C11Rik
chr1,37621820,37622640,4930594C11Rik
chr1,37641610,37643510,4930594C11Rik
chr1,37658800,37660800,4930594C11Rik
chr1,37721220,37722040,4930594C11Rik
chr1,37722270,37723190,4930594C11Rik
chr1,37364500,37366030,Mgat4a
chr1,37552850,37554080,Mgat4a
chr1,37621820,37622640,Mgat4a
chr1,37641610,37643510,Mgat4a
chr1,37658800,37660800,Mgat4a
chr1,37721220,37722040,Mgat4a
chr1,37722270,37723190,Mgat4a
chr1,37552850,37554080,2010300C02Rik
chr1,37621820,37622640,2010300C02Rik
chr1,37641610,37643510,2010300C02Rik
chr1,37658800,37660800,2010300C02Rik
chr1,37721220,37722040,2010300C02Rik
chr1,37621820,37622640,Mitd1
chr1,37721220,37722040,Mitd1
chr1,37722270,37723190,Mitd1
chr1,37721220,37722040,Mrpl30
chr1,37721220,37722040,Txndc9
chr1,37722270,37723190,Txndc9
chr1,37721220,37722040,Eif5b
chr1,37722270,37723190,Eif5b
chr1,38710040,38710390,Aff3
chr1,38750730,38751760,Aff3
chr1,38715210,38716550,Aff3
chr1,38750730,38751760,Pdcl3
chr1,43413870,43416000,Gpr45
chr1,43413870,43416000,Tgfbrap1
chr1,43413870,43416000,AI597479
chr1,43413870,43416000,Nck2
chr1,44257940,44258330,A530098C11Rik
chr1,44257940,44258330,Gm8251
chr1,44257940,44258330,1700029F09Rik
chr1,44257940,44258330,Kdelc1
chr1,46789250,46789920,Slc39a10
chr1,51643140,51644160,Obfc2a
chr1,51640460,51642680,Obfc2a
chr1,52095930,52096620,Stat4
chr1,52095930,52096620,Gm3940
