source,target,weight
chrY-38250000,chr1-3000000,0.5
chrY-87250000,chr1-3000000,0.08333333333333333
chr7-8750000,chr1-3250000,0.05555555555555555
chr14-5000000,chr1-3250000,0.05
chrX-31250000,chr1-3250000,0.05
chrX-55000000,chr1-3250000,0.25
chrY-20750000,chr1-3250000,0.5
chrY-36000000,chr1-3500000,0.5
chrY-41750000,chr1-3500000,0.25
chrY-87750000,chr1-3500000,0.25
chrY-88250000,chr1-3500000,0.16666666666666666
chrY-250000,chr1-3750000,0.07142857142857142
chr14-5000000,chr1-4000000,0.05
chrY-13250000,chr1-4000000,0.5
chrY-39750000,chr1-4000000,0.25
chrY-44500000,chr1-4000000,0.1
chrY-87250000,chr1-4000000,0.16666666666666666
chr14-42750000,chr1-4250000,0.2
chrY-29500000,chr1-4250000,1.0
chrY-43500000,chr1-4250000,0.05555555555555555
chrY-55000000,chr1-4250000,1.0
chrY-60000000,chr1-4250000,1.0
chr14-4500000,chr1-4750000,0.05555555555555555
chrX-149000000,chr1-4750000,0.25
chrY-250000,chr1-4750000,0.07142857142857142
chrY-20250000,chr1-4750000,0.08333333333333333
chrY-84000000,chr1-4750000,0.5
chr7-7750000,chr1-5000000,0.125
chrX-3500000,chr1-5000000,0.25
chrY-14000000,chr1-5000000,1.0
chr4-122250000,chr1-5250000,0.1
chrY-39000000,chr1-5250000,0.1
chrY-88000000,chr1-5750000,0.125
chr14-42750000,chr1-6000000,0.1
chrX-31250000,chr1-6000000,0.05
chrX-55000000,chr1-6000000,0.25
chrY-88750000,chr1-6250000,0.5
chrX-29750000,chr1-6500000,0.25
chrY-38500000,chr1-6500000,1.0
chrY-80750000,chr1-6500000,1.0
chr4-61000000,chr1-6750000,0.05
chrX-148500000,chr1-6750000,0.08333333333333333
chrY-37500000,chr1-6750000,0.5
chrY-38250000,chr1-6750000,0.5
chr7-7750000,chr1-7000000,0.0625
chr14-3750000,chr1-7000000,0.07142857142857142
chr14-42750000,chr1-7250000,0.1
chrY-88000000,chr1-7250000,0.125
chr12-22250000,chr1-7500000,0.0625
chrX-3500000,chr1-7500000,0.25
chrY-57500000,chr1-7500000,1.0
chrX-32750000,chr1-7750000,0.058823529411764705
chrX-34500000,chr1-7750000,0.07142857142857142
chrX-3500000,chr1-8000000,0.25
chr4-61000000,chr1-8250000,0.05
chrY-80750000,chr1-8250000,1.0
chrY-20250000,chr1-8500000,0.08333333333333333
chrY-41750000,chr1-8750000,0.25
chrX-125750000,chr1-9000000,0.3333333333333333
chr12-22250000,chr1-9250000,0.0625
chrY-44500000,chr1-9250000,0.1
chr14-3750000,chr1-9500000,0.07142857142857142
chrX-30250000,chr1-9500000,0.5
chrY-250000,chr1-9500000,0.07142857142857142
chrY-20250000,chr1-9500000,0.08333333333333333
chr14-5000000,chr1-9750000,0.05
chr14-5500000,chr1-9750000,0.5
chrX-29000000,chr1-9750000,1.0
chrY-21500000,chr1-9750000,1.0
chrY-35000000,chr1-9750000,0.5
chr14-3250000,chr1-10000000,0.3333333333333333
chrX-27750000,chr1-10250000,0.5
chrX-35000000,chr1-10250000,0.25
chrX-29750000,chr1-10500000,0.25
chrY-84250000,chr1-10500000,0.25
chrY-86500000,chr1-10500000,0.25
chrY-87750000,chr1-10500000,0.25
chrY-90000000,chr1-10500000,0.125
