chrom	locus	3D_x	3D_y	3D_z
1	6831	78.610	57.461	90.014
1	13661	77.772	57.959	89.791
1	20491	76.934	58.457	89.568
1	68305	71.067	61.941	88.006
1	75135	70.229	62.439	87.783
1	88796	68.553	63.435	87.337
1	122949	64.362	65.924	86.221
1	143440	61.848	67.417	85.552
1	150271	61.010	67.915	85.329
1	157101	60.172	68.413	85.105
1	191254	55.981	70.902	83.990
1	218576	52.629	72.893	83.097
1	232237	50.953	73.889	82.651
1	273220	45.924	76.875	81.312
1	389338	31.676	85.338	77.519
1	423490	27.486	87.827	76.403
1	450812	24.134	89.818	75.510
1	650000	1.141	103.414	68.869
1	750000	-8.557	109.065	65.362
1	1800000	-37.389	123.564	23.217
1	1950000	-35.108	123.331	18.222
1	2200000	-30.072	123.929	11.408
1	2500000	-21.990	126.274	5.727
1	2950000	-6.677	129.126	2.659
1	3050000	-2.860	129.217	2.904
1	3200000	3.147	128.983	3.904
1	3300000	7.339	128.581	4.992
1	3450000	13.910	127.607	7.257
1	3650000	22.398	125.770	10.957
1	3750000	25.848	124.749	12.676
1	4000000	32.027	121.924	16.512
1	4450000	34.342	115.858	21.751
1	4600000	32.785	113.754	23.089
1	5050000	25.476	111.820	27.448
1	5200000	22.207	112.685	29.033
1	5300000	19.797	113.681	30.127
1	5400000	17.202	115.012	31.250
1	5550000	13.015	117.540	32.978
1	5600000	11.663	118.288	33.538
1	5850000	5.757	120.340	36.114
1	6050000	2.051	119.955	37.901
1	6500000	-2.973	112.500	41.034
1	6550000	-3.240	111.203	41.335
1	6800000	-3.480	105.840	43.483
1	6900000	-3.065	104.221	44.641
1	7150000	-0.750	101.485	48.285
1	7400000	3.389	100.624	52.997
1	7650000	8.400	101.131	58.410
1	7750000	9.603	101.157	60.367
1	7950000	10.343	100.753	63.809
1	8100000	9.442	100.050	65.979
1	8150000	8.864	99.740	66.624
1	8550000	-0.638	95.909	70.410
1	8750000	-6.030	93.679	72.243
1	8850000	-8.187	92.641	73.374
1	9100000	-12.002	90.270	76.826
1	9550000	-13.257	86.846	85.244
1	9650000	-13.007	86.469	87.151
1	9700000	-12.925	86.394	88.020
1	10150000	-13.484	89.102	93.316
1	10200000	-13.690	89.779	93.623
1	10300000	-14.187	91.359	94.070
1	11250000	-5.288	106.436	93.073
1	11300000	-3.458	106.709	92.966
1	11450000	2.891	107.182	92.626
1	12000000	26.177	107.996	91.567
1	12100000	29.426	108.304	91.444
1	12550000	40.210	110.312	91.141
1	12600000	40.988	110.584	91.077
1	12700000	42.242	111.133	90.847
1	12850000	43.366	111.974	90.244
1	13050000	43.455	113.126	88.961
1	13700000	33.331	117.029	81.624
1	13950000	27.556	118.338	79.539
1	14100000	23.963	119.030	78.806
1	14250000	20.274	119.653	78.462
1	14500000	13.913	120.537	78.753
1	14550000	12.695	120.675	78.952
1	14600000	11.637	120.772	79.217
1	14700000	10.002	120.845	79.943
1	14750000	9.425	120.821	80.404
1	14850000	8.752	120.653	81.524
1	15050000	9.331	119.833	84.552
1	15250000	12.475	118.368	88.631
1	15400000	16.518	116.846	92.379
1	15650000	24.910	113.895	99.368
1	16100000	29.628	111.210	108.553
1	16150000	29.229	111.145	109.268
1	16250000	27.877	111.155	110.514
1	16300000	26.925	111.230	111.045
1	16350000	25.787	111.352	111.515
1	16650000	16.023	112.956	113.064
1	16900000	7.756	115.012	112.736
1	17500000	-9.677	122.282	105.983
1	17550000	-10.956	122.975	105.116
1	17750000	-15.421	124.737	102.584
1	18000000	-19.543	124.669	101.525
1	18100000	-20.738	123.935	101.757
1	18150000	-21.238	123.417	102.014
1	18250000	-22.043	122.078	102.807
1	18300000	-22.349	121.257	103.344
1	18450000	-22.875	118.189	105.518
1	18600000	-22.914	114.644	108.293
1	18650000	-22.885	113.656	109.185
1	18700000	-22.838	112.783	110.050
1	18850000	-22.597	110.851	112.486
1	18950000	-22.351	110.138	113.978
1	19100000	-21.854	109.927	116.015
1	19150000	-21.654	110.087	116.641
1	19350000	-20.685	111.872	118.879
1	20000000	-15.742	118.495	124.694
1	20150000	-14.235	117.333	126.079
1	20200000	-13.702	116.700	126.546
1	20300000	-12.590	115.068	127.491
1	20350000	-12.011	114.068	127.967
1	20400000	-11.417	112.946	128.447
1	21250000	-8.377	99.474	138.468
1	21300000	-8.802	99.501	139.195
1	21400000	-9.856	99.837	140.696
1	21500000	-11.183	100.548	142.258
1	21650000	-12.928	101.833	144.505
1	21800000	-13.770	102.990	146.464
1	21900000	-13.831	103.691	147.610
1	21950000	-13.711	104.020	148.135
1	22150000	-12.228	105.196	149.916
1	22500000	-5.775	106.708	151.802
1	22700000	-1.423	107.868	152.317
1	22900000	1.452	110.014	152.602
1	23000000	2.336	111.457	152.657
1	23200000	2.995	115.083	152.596
1	24050000	-1.531	134.826	153.671
1	24300000	-0.423	138.540	156.408
1	24350000	-0.024	139.137	157.106
1	24700000	3.853	142.025	162.194
1	24900000	5.998	142.778	163.282
1	25000000	7.002	142.917	163.225
1	25050000	7.487	142.927	163.046
1	25200000	8.873	142.718	161.907
1	25250000	9.312	142.569	161.326
1	25450000	10.955	141.577	158.003
1	25750000	12.979	140.521	152.374
1	26150000	14.600	144.077	149.721
1	26200000	14.716	144.927	149.789
1	26300000	14.890	146.899	150.193
1	27100000	11.515	164.021	153.965
1	27200000	10.277	165.037	153.142
1	27250000	9.588	165.437	152.609
1	27300000	8.852	165.767	151.994
1	27400000	7.240	166.211	150.521
1	27450000	6.364	166.326	149.662
1	27650000	2.742	166.325	145.615
1	27700000	1.906	166.280	144.506
1	28200000	-4.726	165.011	131.410
1	28450000	-6.860	163.816	123.491
1	28550000	-7.475	163.242	120.137
1	28650000	-7.836	162.674	117.122
1	28700000	-7.915	162.395	115.768
1	28750000	-7.926	162.120	114.516
1	29600000	2.060	158.134	108.715
1	30150000	9.463	161.858	114.956
1	30500000	11.064	168.915	120.915
1	30700000	11.388	173.571	123.911
1	31000000	12.247	178.993	125.215
1	31300000	13.553	182.537	122.693
1	31950000	18.339	185.293	107.578
1	32450000	24.574	185.490	93.077
1	32700000	28.550	184.766	85.962
1	32850000	31.219	183.762	82.767
1	32950000	33.115	182.850	81.099
1	33050000	35.106	181.745	79.799
1	33250000	39.370	178.954	78.307
1	33300000	40.495	178.135	78.165
1	33550000	46.403	173.365	78.763
1	33600000	47.459	172.404	78.952
1	33650000	48.398	171.493	79.086
1	33850000	50.987	168.354	79.064
1	34300000	49.982	164.232	75.761
1	34400000	48.475	163.870	74.414
1	34950000	37.073	162.767	68.072
1	35400000	28.659	160.485	68.874
1	35450000	27.787	160.149	69.307
1	35600000	25.305	159.195	70.890
1	36050000	20.109	159.461	75.951
1	36650000	18.560	166.992	83.271
1	36800000	19.196	169.140	85.372
1	37000000	20.715	171.616	88.436
1	37100000	21.763	172.687	90.080
1	37200000	23.002	173.648	91.799
1	37250000	23.693	174.087	92.687
1	37350000	25.220	174.881	94.518
1	37450000	26.939	175.565	96.424
1	37500000	27.870	175.865	97.405
1	38350000	35.455	169.809	111.173
1	38400000	35.362	168.773	111.791
1	38550000	34.777	165.295	113.532
1	38600000	34.603	164.215	114.099
1	38650000	34.473	163.230	114.668
1	38850000	34.409	160.260	116.956
1	39250000	36.454	158.954	121.592
1	40050000	46.114	169.412	127.493
1	40150000	47.288	170.970	127.272
1	40250000	48.436	172.552	126.817
1	40500000	51.196	176.613	124.657
1	40650000	52.767	178.722	122.865
1	40700000	53.275	179.260	122.243
1	40850000	54.749	180.376	120.298
1	41900000	61.262	173.325	103.890
1	41950000	61.098	173.388	103.060
1	42150000	59.807	174.686	99.744
1	42400000	56.769	178.667	95.608
1	42500000	55.111	180.993	93.956
1	42800000	50.288	186.245	89.696
1	43000000	47.664	187.129	87.628
1	43150000	46.006	186.418	86.482
1	43200000	45.513	185.919	86.177
1	43700000	42.131	174.901	84.507
1	44150000	40.972	163.905	79.867
1	44500000	41.206	156.194	73.218
1	44550000	41.336	155.165	72.113
1	44600000	41.517	154.178	71.077
